type,text,listPrice,sqft,beds,baths_full_calc,stories,garage
single_family,"Welcome to this spacious home offering endless potential to create the dream home you've been waiting for. With 4 generously sized bedrooms and abundant living space, this property provides a flexible layout perfect for growing families, entertaining or working from home. Outside you will find a fully fenced in yard ideal for pets, play and outdoor gatherings. With a new liner installed you will be ready to swim in the in ground pool on those sunny days in your future. The property also features a 2 car garage, a shed and a barn perfect for toys, hobbies or additional work space. Whether you're looking to renovate, restore or reimagine, this home is a rare opportunity to build equity in desirable location. Bring your vision and unlock the full potential this property has to offer. Assisted Showings Thursday, Friday and Saturday reach out to schedule.",565000,3520,4,2,3,2
single_family,"Quintessential New Hampshire Living with Lake Access in Sanbornton Here is your opportunity to own a classic New Hampshire retreat in the highly desirable Hermit Lake neighborhood of Sanbornton, offering access to both Hermit Lake and Lake Winnisquam. Set in a peaceful, established community, this three-bedroom, two-bath home offers incredible potential for the buyer ready to renovate and personalize. Whether you are looking for a year-round residence, vacation getaway, or investment opportunity, this property is positioned for value and opportunity. The main level features all primary living spaces, including three bedrooms, two baths, a bright kitchen and dining area, and a comfortable living room designed for everyday ease. Upstairs, you will find a spacious family room along with a three-season game room-ideal for entertaining, relaxing, or creating additional flexible living space. A full basement with walk-up access provides excellent storage and future finishing possibilities. Outside, multiple decks invite morning coffee, summer grilling, and peaceful evenings surrounded by nature. The two-car garage offers year-round convenience and functionality. Residents of Five Circle Point enjoy access to Hermit Lake for town residents, while Lake Winnisquam beach is open to the public-making swimming, kayaking, boating, and lakeside relaxation part of everyday life in the Lakes Region. If you have been waiting for the right opportunity to create your own Lakes Region retreat, this is it. Delayed showings until the Open House on Saturday, March 7th in the afternoon. Do not miss your chance to explore the potential of this special property.",449000,2203,3,2,2,2
single_family,"Meredith, NH 03253--You won't want to miss this opportunity! Set on over 4 acres, this classic Cape offers space, charm, and a variety of amenities. Highlights include wood-burning fireplaces, a large kitchen island, beautiful wide-plank wood floors, an attached 2-car garage, a detached barn-style garage, perennial gardens, and even your own tennis court-perfect for play now or easily converted to pickleball. Located on a quiet dead-end street with only six homes, this property offers privacy while being within walking distance to local schools and close to Page Pond for hiking and dog walking. Inside, the main level features wide-plank flooring throughout the kitchen, dining, living, and sunroom areas. The thoughtfully designed kitchen provides multiple workspaces and quality appliances. The living room centers around a stunning fireplace with glass doors, while the sunroom is filled with natural light-an ideal spot to relax with a book. The dining room offers flexibility for everyday meals or larger gatherings and includes a second fireplace for added warmth. A first-floor bedroom suite allows for convenient one-level living and offers great potential for updates to build equity. Upstairs, you'll find two spacious bedrooms, a full bath, and ample storage. The basement provides additional space for storage or a potential retreat area. With solid features, room to customize, and a desirable location, this home is ready for its next chapter. This is coming soon with an open house scheduled for this coming Saturday, March 7, 2026 from 10:00-12:00 noon.",569000,3684,3,2,2,2
single_family,"Welcome to 10 Roy Drive, a true gem located in one of Hudson's most sought-after neighborhoods. This beautifully maintained 4-bedroom, 4-bath home offers timeless charm and modern comfort from the moment you arrive. The inviting farmers porch sets the tone for a warm and welcoming interior featuring stunning crown molding, gorgeous hardwood floors and an oversized family room perfect for entertaining, complete with two wood-burning fireplaces. The serene backyard is a private retreat surrounded by mature trees and nature, ideal for relaxing or hosting guests. As an added bonus, the basement includes a nearly new sauna, offering a luxurious touch to your wellness routine. The basement is partially finished with plenty of potential to expand, transforming the space into additional living or recreational space to suit your needs. This home also features a 2-car garage, a whole house generator providing peace of mind and the convenience of public water and sewer! This spacious layout, thoughtful upgrades and prime location is the perfect place to call home. Showings begin at the Open House, starting Thursday 6/26/25.",749000,3945,4,2,2,2
single_family,"The home you've been waiting for! Fresh, bright, and move-in ready, this property offers space, comfort, and value in all the right places. Step inside to discover gleaming hardwood floors throughout and a thoughtfully updated interior. The stunning kitchen features stainless steel appliances (honorable mention: a highly efficient induction stove), ample cabinetry, and a clean, contemporary aesthetic that flows seamlessly into the main living spaces. A lovely first-floor laundry room is most ideal. The bathroom has been beautifully updated with modern finishes and stylish fixtures adding substantial value to the home. The primary suite on the main living floor is what separates this home from the rest. Upstairs, the additional 3 bedrooms are privately situated, creating a natural separation between primary and secondary sleeping areas. Downstairs, the unfinished basement offers tremendous potential, including an additional finished room perfect for a home office, playroom, or hobby space. With room for expansion, there's opportunity to further customize the home to fit your needs. Outdoor living is equally impressive. A spacious deck overlooks the serene 4-acre setting, providing the perfect place to relax, entertain, or enjoy peaceful country views. In addition to the clean and spacious 2-car garage, the true highlight of this property is the large commercial-grade garage. The wraparound driveway adds convenience and creates the potential for rental income. The flexibility makes this property truly stand out. Move-in ready, and packed with potential, 19 Auburn Road is a rare opportunity combining modern updates with acreage, unmatched utility space, and an unbeatable location with its proximity to I-93. Open house 3/7/26 and 3/8/26 11-12:30.",599000,2637,4,2,2,2
single_family,"'Welcome to this charming 3-bedroom, 2-bath Single Family Split Entry home in Sandown, New Hampshire, offering 1,366 square feet of comfortable living space on a beautiful and private 3.25-acre lot. Designed with an open concept layout, the main living area seamlessly connects the kitchen, dining, and living spaces-basement features a I bedroom in law. Nestled on a quiet street, this home provides a peaceful setting while still being centrally located for easy access to local amenities, shopping, and commuting routes. The great private lot offers plenty of space to enjoy the outdoors, whether relaxing, gardening, or hosting gatherings, and there is ample off-street parking for family and guests alike. This property combines privacy, convenience, and functionality in a desirable Sandown location.",499900,2146,3,2,2,1
single_family,"If you have been looking for space, privacy, and a layout that simply makes sense, this home delivers! Located in a beautiful neighborhood, this well-designed home offers easy one-level living with the flexibility today's buyers want. The open concept kitchen, dining, and living area is the heart of the home, centered around a wood burning fireplace and designed for gathering. The beautiful primary suite is privately positioned at the end of the home, offering oversized closets and a spacious spa-like bathroom with a soaking tub. The fully finished basement adds significant bonus space and includes its own bathroom - ideal for guests, extended family, or a dedicated rec room. Step outside to a large private backyard with a deck overlooking ample garden space and a peaceful wooded view. Perfect for the retiring farmer or a micro-homestead dream: raised garden beds, fenced garden areas, a pergola for shaded outdoor time, and a gardener's yard with infrastructure like a shed and room to grow, gather, and putter. Plenty of privacy to make it yours today. Major updates have already been addressed, plus thoughtful features that support easy living. A solid, move-in ready home in a neighborhood you will love. Showings to begin at the open house, Saturday March 7.",675000,2612,3,2,1,2
single_family,"Experience the perfect blend of comfort and recreation in this charming 3-bedroom, 2-bathroom home. Situated on a prime corner lot in one of Stratham's most desirable locations, you are just moments away from the trailheads and community events of Stratham Hill Park and the fish and game trail at the end of Jason Drive provides access to a view of the bay. Step inside to find an inviting living area where cathedral ceilings, hard wood flooring and natural light create an airy, expansive feel. Whether you're curling up by the cozy wood stove on a winter evening or hosting a summer dinner party, this space is designed for all of your needs. The excitement continues outdoors. Transition seamlessly to your backyard, featuring a large 2 level deck, above-ground swimming pool. apple trees and fenced in garden beds. It's more than just a house; it's a place to start your summer creating memories that last a lifetime. Don't miss this rare opportunity to join the vibrant Stratham community! Schedule your private showing today.",675000,2201,3,2,2,2
single_family,"This modular ranch can use decorating, updating and some repairs but the basics are here at this private homesite. 2 bedrooms and 2 baths on the 1st floor along with a den or office. The basement has 3 semi-finished rooms for bedrooms or rec area - one with a woodstove. An open porch and back deck give you outside areas to relax and enjoy the privacy of your back yard. Want to raise your own food? There's plenty of open land for gardens and animals. If you need garage space, the 2+ bay garage and attached 10x20 storage/workshop should fit. Forest Lake and Pisgah State Park are not far away for your outdoor recreational activities.",289000,1741,4,2,1,2
single_family,"Enjoy peaceful country living in this to-be-built Full Dormer Cape, thoughtfully situated on a beautiful 1-acre lot. This well-designed home offers the convenience of a first-floor bedroom with a walk-in closet and a full bath nearby - perfect for flexible living arrangements. The open-concept kitchen and living area create a bright, welcoming space ideal for both everyday living and entertaining. The kitchen will feature granite countertops, a center island, abundant cabinetry, and a sliding glass door leading to the back deck - a perfect spot to relax and take in the surrounding landscape. Upstairs, you'll find two generously sized bedrooms and a second full bath, providing comfortable space for family, guests, or a home office. A charming covered front porch enhances the home's curb appeal, while the attached 24x24 garage offers ample room for vehicles, storage, or hobbies. Outdoor enthusiasts will appreciate being close to Pisgah State Park, a breathtaking 13,300-acre public recreation area featuring seven ponds, four highland ridges, extensive wetlands, and a 20-acre parcel of old-growth forest. The nearby Rails to Trails system offers additional opportunities for walking, biking, and enjoying the natural beauty of the area. Conveniently located in Hinsdale, just minutes from Vermont and I-91, this home combines rural charm with commuter-friendly access. Expected completion: mid to late May 2026. Photos are facsimile.",392500,1408,3,2,2,2
